song_id,title,artist,mood,year,valence,energy,youtube_id
1tlFocrMoY5tKmegYivNHd,#Cinco Disparos,Mr Alien,Happy,2019,0.709,0.9,
1DB6mmtyhiSI2XbRGDYIV9,Lighten Up,Champaign,Happy,2014,0.962,0.779,
01G3uECLTaLdfblHMvQxPX,XYZT,Zombi,Happy,2020,0.568,0.783,
6hAZKd8OQ1cf0pVhAUTt1B,Keen and Peachy,Hank Mobley Quintet,Happy,2012,0.779,0.696,
2L3lkdGnlca4aB4vuZhNPS,Invasion,Rob Vicious,Happy,2020,0.683,0.684,
3IKJOVuJnbKS9fIM5hL38b,Pour Some Sugar On Me,On The Rocks,Happy,2012,0.633,0.717,
2vYQt52ut7v6EpL21lUdlH,You Bring the Sun,Annie Keating,Happy,2016,0.742,0.731,
5yLAd7UW47GZJrymvKUXl3,Cuando un Cariño Se Va,La Gran Familia de Guatemala,Happy,2012,0.812,0.679,
5CnfEsG2WubB3541m5wAZW,Radikult - Fixhead Remix,Morbid Angel,Happy,2012,0.593,0.935,
4TOlcylpq3DzE91iti2bdZ,Get Up,Niki J Crawford,Happy,2015,0.861,0.903,
2MVQ0T9eognvuIczE7x6wH,Past Tense,Lil Keke,Happy,2012,0.687,0.778,
1HLzJsyA00Y7FuBQJtXvYv,ハイハイあかちゃん,CHAI,Happy,2017,0.661,0.884,
1p8wPgQ0AiA4rWxJaufZrE,Thank God,Wale,Happy,2017,0.555,0.729,
3ukWQzkKdMHSeGDaSnK23c,I Love You More Than Tacos - Instrumental,Carne Cruda,Happy,2016,0.962,0.59,
0ksn45NhLxZ5tnExC7iqQq,La Mano Se Te Fue,D.OZI,Happy,2014,0.813,0.817,
0y3N8torKeDzzA5TTCSKdZ,Combs and Carter,Ali Bey,Happy,2020,0.71,0.714,
14D8EaSuS0OwHvpkyw14DY,Queasy,Chime,Happy,2020,0.736,0.852,
2E3pvNCmzzF5PzhXNZncNT,"For The Real (feat. Termanology, Slaine, Singapore Kane & Reks)",Big Shug,Happy,2012,0.596,0.846,
