song_id,title,artist,mood,rating,youtube_id,mood_source
bw_0230,My Heart Is Beating,Preeti Sagar,Neutral,4.0,wJ0dR6RjIfY,acoustic
bw_0231,Jawan Hai Mohabbat Hasin Hai Zamana,Noor Jehan,Neutral,5.0,-GaFWz_jH5g,keyword
bw_0232,Jab Dil Hi Toot Gaya,K.L. Saigal,Neutral,5.0,Ap39WcjG7p0,keyword
bw_0233,Mohabbat Kar Lo Jee Bhar Lo,Geeta Dutt,Neutral,5.0,e1OJPQoUjpE,keyword
bw_0234,Ae Ji Dil Par Hua Aisa Jadoo,Mohammed Rafi,Neutral,5.0,EGDCtWNyIZQ,keyword
bw_0235,Udhar Tum Hasin Ho Idhar Dil Jawan Hai,Geeta Dutt,Neutral,5.0,oWi_LZ97cTE,keyword
bw_0236,Hai Apna Dil Toh Aawara (Happy),Hemant Kumar,Neutral,5.0,07dfqQ0cvl8,keyword
bw_0237,Jaoon Kahan Bataa Ae Dil,Mukesh,Neutral,5.0,R15OyGa6Q50,keyword
bw_0238,Aa Dil Se Dil Mila Le,Asha Bhosle,Neutral,5.0,FVWFCUY3i_g,keyword
bw_0239,Rula Ke Gaya Sapna Mera,Lata Mangeshkar,Neutral,5.0,dCbG9xLTFDs,keyword
bw_0240,Awara Ae Mere Dil (Fast),Lata Mangeshkar,Neutral,5.0,-402m4K7Apc,keyword
bw_0241,Aankhon Mein Teri Ajab Si Ajab Si Adayen Hain,KK,Surprise,4.8,2drIKUOCZxU,keyword
bw_0242,Teri Ore,Rahat Fateh Ali Khan,Surprise,5.0,GLEx6bhPu7s,fallback
bw_0243,Haay Kasam Se Kasam Se Tumhare Bina,Arijit Singh,Surprise,5.0,Yps2aa-I8jY,fallback
bw_0244,Sanwaar Loon,Monali Thakur,Surprise,4.9,-90dVsutSUg,fallback
bw_0245,Kyun,Papon,Surprise,4.86,Rq7tyOcVgLQ,fallback
bw_0246,Arziyan,Javed Ali,Surprise,4.83,JA09HEGTzCU,fallback
bw_0247,Mohe Rang Do Laal,Birju Maharaj,Surprise,4.8,UoNnDIu9xQ4,fallback
bw_0248,Bavra Mann (Male),Swanand Kirkire,Surprise,4.75,yRvEVVO4LFs,fallback
bw_0249,O Meri Jaan,KK,Surprise,4.75,rXVot29Ez6Y,fallback
bw_0250,Phir Se Ud Chala,Mohit Chauhan,Surprise,4.75,2mWaqsC3U7k,fallback
bw_0251,Roobaroo,A.R. Rahman,Surprise,4.67,8kMv5ssr6Dw,fallback
bw_0252,Aahista Aahista,Lucky Ali,Surprise,4.67,-m9IGI5EgyM,fallback
bw_0253,Aashiyan (Solo),Nikhil Paul George,Surprise,4.67,FlY2YplRQMM,fallback
bw_0254,Yeh Moh Moh Ke Dhaage (Male),Papon,Surprise,4.67,T-8vVY-IECk,fallback
bw_0255,Aave Re Hichki,Mame Khan,Surprise,4.6,BPA_O7auSFc,fallback
bw_0256,Jiya Dhadak Dhadak Jaye,Rahat Fateh Ali Khan,Surprise,4.5,iasxMdSu7Jo,fallback
